Index,Quarter,TA125,D3-125,P-CHANGE125,TA-125-CLOSE,TA125-LAG1,TA125-LAG2,TA125-LAG3,TA125-LAG4,TA125-LAG1-R,TA125-LAG2-R,TA125-LAG3-R,TA125-LAG4-R,UNEMP,UNEMP-LAG1,UNEMP-LAG2,UNEMP-LAG3,UNEMP-LAG4,UNEMP-LAG1-DIFF,UNEMP-LAG2-DIFF,UNEMP-LAG3-DIFF,UNEMP-LAG4-DIFF,GDP,GDP-LAG1,GDP-LAG2,GDP-LAG3,GDP-LAG4,GDP-LAG1-R,GDP-LAG2-R,GDP-LAG3-R,GDP-LAG4-R,Prime,Prime-LAG1,Prime-LAG2,Prime-LAG3,Prime-LAG4,Prime-LAG1-DIFF,Prime-LAG2-DIFF,Prime-LAG3-DIFF,Prime-LAG4-DIFF,CP-I,CP-I-LAG1,CP-I-LAG2,CP-I-LAG3,CP-I-LAG4,CP-I-LAG1-R,CP-I-LAG2-R,CP-I-LAG3-R,CP-I-LAG4-R,CB-LENSER-S-b,CB-LENSER-S-p,CB-BORRWER-S-b,CB-BORRWER-S-p,PROVISION-b,PROVISION-p,Dummy-t
31/12/2004,12-Apr,619.175,0,0.137718,635.95,558.97,596.24,566.07,534.39,0.137718,0.066601,0.123448,0.190048,0.121229,0.125363,0.13072,0.13631,0.135459,-0.004134,-0.009491,-0.015081,-0.01423,193826.018,191311.59,188982.016,187612.751,183409.196,0.013143,0.025632,0.033118,0.056796,5.39,5.6,5.6,5.8,6.7,-0.21,-0.21,-0.21,-1.31,80.844037,80.844037,81.004761,79.799333,79.879695,0,0,0.013092,0.012072,328.238132,69.779035,339.393102,70.878171,0.032867,0.015507,0
31/03/2005,03-May,675.92,0,0.045114,664.64,635.95,558.97,596.24,566.07,0.045114,0.189044,0.114719,0.17413,0.117227,0.121229,0.125363,0.13072,0.13631,-0.004002,-0.008136,-0.013493,-0.019083,195333.633,193826.018,191311.59,188982.016,187612.751,0.007778,0.021024,0.03361,0.041153,5,5.39,5.6,5.6,5.8,-0.39,-0.6,-0.6,-0.8,80.361866,80.844037,80.844037,81.004761,79.799333,-0.005964,-0.005964,-0.007937,0.007049,321.928443,69.867903,332.677693,71.287161,0.032311,0.019909,0
30/06/2005,06-May,679.191,0,-0.012277,656.48,664.64,635.95,558.97,596.24,-0.012277,0.032282,0.174446,0.101033,0.112375,0.117227,0.121229,0.125363,0.13072,-0.004852,-0.008854,-0.012988,-0.018345,197583.458,195333.633,193826.018,191311.59,188982.016,0.011518,0.019386,0.032784,0.045515,5,5,5.39,5.6,5.6,0,-0.39,-0.39,-0.6,81.245846,80.361866,80.844037,80.844037,81.004761,0.011,0.011,0.00497,0.002976,326.208213,71.399466,337.194219,72.846816,0.032581,0.019868,0
30/09/2005,09-May,736.793333,0,0.147925,753.59,656.48,664.64,635.95,558.97,0.147925,0.133832,0.184983,0.348176,0.109313,0.112375,0.117227,0.121229,0.125363,-0.003062,-0.007914,-0.011916,-0.01605,200031.081,197583.458,195333.633,193826.018,191311.59,0.012388,0.024048,0.032014,0.045577,5,5,5,5.39,5.6,0,0,0,-0.6,82.370912,81.245846,80.361866,80.844037,80.844037,0.013848,0.013848,0.018887,0.018887,330.418008,73.607471,341.474742,75.1305,0.032379,0.020272,0
31/12/2005,12-May,813.749048,0,0.092093,822.99,753.59,656.48,664.64,635.95,0.092093,0.253641,0.238249,0.294111,0.111512,0.109313,0.112375,0.117227,0.121229,0.002199,-0.000863,-0.005715,-0.009717,203543.186,200031.081,197583.458,195333.633,193826.018,0.017558,0.030163,0.042028,0.050133,5.98,5,5,5,5.39,0.98,0.98,0.98,0.59,82.772722,82.370912,81.245846,80.361866,80.844037,0.004878,0.004878,0.03,0.023857,333.340522,75.792519,344.559125,77.42487,0.032559,0.021083,0
31/03/2006,03-Jun,847.8005,0,0.015541,835.78,822.99,753.59,656.48,664.64,0.015541,0.109065,0.273123,0.257493,0.108111,0.111512,0.109313,0.112375,0.117227,-0.003401,-0.001202,-0.004264,-0.009116,206169.859,203543.186,200031.081,197583.458,195333.633,0.012905,0.030689,0.043457,0.055475,6.25,5.98,5,5,5,0.27,1.25,1.25,1.25,83.254893,82.772722,82.370912,81.245846,80.361866,0.005825,0.005825,0.024728,0.036,333.397101,77.11471,344.726192,78.637537,0.032864,0.019365,0
30/06/2006,06-Jun,829.559,-0.02,-0.050504,793.57,835.78,822.99,753.59,656.48,-0.050504,-0.035748,0.053053,0.208826,0.107111,0.108111,0.111512,0.109313,0.112375,-0.001,-0.004401,-0.002202,-0.005264,210707.399,206169.859,203543.186,200031.081,197583.458,0.022009,0.035198,0.053373,0.066422,6.75,6.25,5.98,5,5,0.5,0.77,0.77,1.75,84.058512,83.254893,82.772722,82.370912,81.245846,0.009653,0.009653,0.020488,0.034619,332.562277,78.26113,343.746241,79.84134,0.032536,0.019792,0
30/09/2006,09-Jun,820.465263,-0.01,0.066182,846.09,793.57,835.78,822.99,753.59,0.066182,0.012336,0.028068,0.122746,0.103505,0.107111,0.108111,0.111512,0.109313,-0.003606,-0.004606,-0.008007,-0.005808,209330.5,210707.399,206169.859,203543.186,200031.081,-0.006535,0.01533,0.028433,0.04649,7,6.75,6.25,5.98,5,0.25,0.75,0.75,2,83.415617,84.058512,83.254893,82.772722,82.370912,-0.007648,-0.007648,0.007767,0.012683,330.409572,80.969207,341.657383,82.526306,0.032921,0.018868,0
31/12/2006,12-Jun,937.406191,0,0.089352,921.69,846.09,793.57,835.78,822.99,0.089352,0.161448,0.10279,0.119929,0.097503,0.103505,0.107111,0.108111,0.111512,-0.006002,-0.009608,-0.010608,-0.014009,212372.4,209330.5,210707.399,206169.859,203543.186,0.014532,0.007902,0.030085,0.043378,6.44,7,6.75,6.25,5.98,-0.56,-0.31,-0.31,0.46,82.69236,83.415617,84.058512,83.254893,82.772722,-0.008671,-0.008671,-0.006757,-0.000971,332.185029,79.452583,342.817805,81.26451,0.031016,0.022297,0
31/03/2007,03-Jul,968.9195,0,0.078996,994.5,921.69,846.09,793.57,835.78,0.078996,0.175407,0.253198,0.189906,0.095241,0.097503,0.103505,0.107111,0.108111,-0.002262,-0.008264,-0.01187,-0.01287,216696.327,212372.4,209330.5,210707.399,206169.859,0.02036,0.035188,0.028423,0.051057,5.5,6.44,7,6.75,6.25,-0.94,-1.5,-1.5,-0.75,82.498045,82.69236,83.415617,84.058512,83.254893,-0.00235,-0.00235,-0.018564,-0.009091,342.702015,77.213309,353.123064,79.03084,0.029511,0.022998,0
30/06/2007,06-Jul,1109.8425,0,0.108286,1102.19,994.5,921.69,846.09,793.57,0.108286,0.195836,0.302686,0.388901,0.094453,0.095241,0.097503,0.103505,0.107111,-0.000788,-0.00305,-0.009052,-0.012658,220310.004,216696.327,212372.4,209330.5,210707.399,0.016676,0.037376,0.052451,0.045573,5,5.5,6.44,7,6.75,-0.5,-1.44,-1.44,-1.75,83.499032,82.498045,82.69236,83.415617,84.058512,0.012133,0.012133,0.001,-0.006656,348.395512,82.832434,358.475432,84.755282,0.028119,0.022687,0
30/09/2007,09-Jul,1053.438235,-0.05,0.007313,1110.25,1102.19,994.5,921.69,846.09,0.007313,0.11639,0.204581,0.312213,0.08924,0.094453,0.095241,0.097503,0.103505,-0.005213,-0.006001,-0.008263,-0.014265,224484.471,220310.004,216696.327,212372.4,209330.5,0.018948,0.03594,0.057032,0.072393,5.5,5,5.5,6.44,7,0.5,0,0,-1.5,84.583435,83.499032,82.498045,82.69236,83.415617,0.012987,0.012987,0.022869,0.014,346.844789,85.996872,357.005326,88.018124,0.02846,0.022964,0
31/12/2007,12-Jul,1152.259545,0,0.039937,1154.59,1110.25,1102.19,994.5,921.69,0.039937,0.047542,0.160975,0.252688,0.083665,0.08924,0.094453,0.095241,0.097503,-0.005575,-0.010788,-0.011576,-0.013838,227549.445,224484.471,220310.004,216696.327,212372.4,0.013653,0.03286,0.050084,0.071464,5.53,5.5,5,5.5,6.44,0.03,0.53,0.53,-0.91,85.501007,84.583435,83.499032,82.498045,82.69236,0.010848,0.010848,0.0364,0.033965,354.989819,91.582616,364.632889,93.802836,0.026446,0.023669,0
31/03/2008,03-Aug,953.973636,-0.17,-0.1962,928.06,1154.59,1110.25,1102.19,994.5,-0.1962,-0.164098,-0.157985,-0.066807,0.076853,0.083665,0.08924,0.094453,0.095241,-0.006812,-0.012387,-0.0176,-0.018388,229698.165,227549.445,224484.471,220310.004,216696.327,0.009443,0.023225,0.042613,0.06,5.17,5.53,5.5,5,5.5,-0.36,-0.33,-0.33,-0.33,85.584423,85.501007,84.583435,83.499032,82.498045,0.000976,0.000976,0.024975,0.037412,360.83064,92.717358,370.488492,95.022236,0.026068,0.024256,1
30/06/2008,06-Aug,1021.460526,0,0.064058,987.51,928.06,1154.59,1110.25,1102.19,0.064058,-0.144709,-0.110552,-0.104047,0.074475,0.076853,0.083665,0.08924,0.094453,-0.002378,-0.00919,-0.014765,-0.019978,229513.971,229698.165,227549.445,224484.471,220310.004,-0.000802,0.008633,0.022405,0.041777,5.03,5.17,5.53,5.5,5,-0.14,-0.5,-0.5,0.03,87.502982,85.584423,85.501007,84.583435,83.499032,0.022417,0.022417,0.034517,0.047952,370.637397,95.6251,380.287945,98.042762,0.025377,0.024659,1
